Nombre Comunidad Autónoma,Nombre Provincia,Nombre municipio,Número de observaciones muestrales,Población (INE),Población declarante (IRPF),Renta imponible agregada (IRPF),Renta imponible media (por declarante),Renta imponible media (por habitante),Renta mediana,Índice de Gini ,"Índice de Atkinson 0,5",Top 1%,"Top 0,5%","Top 0,1%",Quintil 1,Quintil 2,Quintil 3,Quintil 4,Quintil 5,COD_INE_CAPITAL,LATITUD_ETRS89,LONGITUD_ETRS89,Porcentaje de Poblacion Declarante
Andalucía,Huelva,Bonares,243.0,5602.0,1992.0,28565897.52,14340.31,5099.231974294895,12483.83,0.42079218,0.16017051,4.900587,2.559391,0.2899733,3.338604,9.993755,17.48234,23.99667,45.18863,21014,37.32109958,-6.68397297,0.3555872902534809
Andalucía,Huelva,Cartaya,811.0,16589.0,5682.0,101146645.68,17801.24,6097.211747543553,12887.29,0.48374514,0.22217932,11.75074,9.439823,6.194432,3.109273,9.477658,14.36666,21.45225,51.59416,21021,37.28348056,-7.15548874,0.34251612514316715
Andalucía,Huelva,Gibraleón,470.0,11794.0,4234.0,63396825.18,14973.27,5375.345529930473,13168.06,0.39112892,0.14990214,5.95655,3.929982,1.630726,3.682838,11.64503,17.52751,23.98281,43.1618,21035,37.37613276,-6.97357026,0.3589960997117178
Andalucía,Huelva,Huelva,6009.0,146173.0,59942.0,1225735975.4,20448.7,8385.515624636562,16132.33,0.43719967,0.17551349,7.356918,4.905824,1.849259,3.458737,10.09723,15.81885,23.31489,47.31028,21041,37.26004113,-6.95040588,0.41007573218036164
Andalucía,Huelva,Isla Cristina,845.0,20540.0,6519.0,98105408.85,15049.15,4776.310070593962,11155.2,0.48145771,0.21848289,9.204308,6.378471,2.487639,2.394047,8.455588,15.01534,23.14373,50.9913,21042,37.20301183,-7.32574306,0.3173807205452775
Andalucía,Huelva,Lepe,979.0,23607.0,8047.0,127435027.98,15836.34,5398.188163680265,12551.12,0.46073116,0.1952423,7.091416,4.616492,1.922336,2.829016,9.071623,15.55006,22.99369,49.55561,21044,37.25515221,-7.20341247,0.3408734697335536
Andalucía,Huelva,Moguer,765.0,18381.0,6388.0,112951210.63999999,17681.78,6144.9981306784175,12716.43,0.46737107,0.19889106,7.981716,5.33325,1.96829,2.691872,9.301389,14.80819,22.35225,50.8463,21050,37.27471025,-6.83691754,0.34753277841249114
Andalucía,Huelva,Nerva,222.0,5991.0,2077.0,29584123.36,14243.68,4938.094368218995,13027.34,0.38210345,0.14540699,4.96665,2.783074,0.584604,3.517339,11.56263,18.54904,23.6953,42.67569,21052,37.6948313,-6.5469784,0.34668669671173424
Andalucía,Huelva,"Palma del Condado, La",440.0,10192.0,3699.0,56912998.949999996,15386.05,5584.085454277864,12035.53,0.45179584,0.1889643,8.570435,4.360572,0.7455938,3.082597,9.705332,15.79974,22.74722,48.66511,21054,37.3876449,-6.55312863,0.36293171114599687
Andalucía,Huelva,Palos de la Frontera,360.0,8529.0,3206.0,59970217.72,18705.62,7031.330486575213,13778.59,0.50179674,0.22979487,11.56545,7.525187,2.369241,2.779124,8.134345,14.33451,22.96921,51.78281,21055,37.23054376,-6.891977000000001,0.3758940086762809
Andalucía,Huelva,Punta Umbría,536.0,14274.0,5127.0,93168305.43,18172.09,6527.133629676335,14117.08,0.44308384,0.17875739,6.227441,3.625602,0.9027615,3.205913,9.992875,15.64871,22.95892,48.19358,21060,37.1777585,-6.95728548,0.35918453131567885
